Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2015,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CN,KR,CN,1,,bodies,,Q,O
2015,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CN,KR,CN,1,,specimens,,Q,O
2015,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,NO,,1,1,bodies,,P,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BE,SR,,,3,live,,P,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,GH,SR,,,46,feathers,,Q,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,NL,SR,,,26,feathers,,P,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,SE,SR,,,4,feathers,,P,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,US,BR,,9,,feathers,,P,I
2015,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CN,KR,CN,1,,bodies,,Q,O
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,KZ,UZ,RU,,2,live,,Q,U
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,UZ,RU,,2,,live,,Q,U
2015,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,CH,XX,1,,leather products (small),,P,I
2015,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,GG,GB,,2,,live,,P,C
2015,I,Pachypodium ambongense,,Gentianales,Apocynaceae,Pachypodium,US,MX,,2,,live,,P,I
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,BM,CA,,,1,baleen,,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,CA,,1,garments,,Q,O
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,2,baleen,,P,I
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,1,bones,,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,CA,,1,1,carvings,,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,1.5,baleen,kg,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,6,baleen,,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,135,carvings,g,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,3,2,carvings,,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GB,AU,XX,9,,carvings,,Q,O
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,GL,,,5,baleen,kg,P,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,1,,bones,,P,I
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,,1,bones,,P,O
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,1,,garments,,Q,O
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,NL,XX,,1,carvings,,Q,O
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,XV,CA,CA,,108,baleen,,Q,O
2015,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,FR,US,XX,,1,bone carvings,,Q,O
2015,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,FR,US,XX,1,,carvings,,Q,O
2015,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,CH,FR,XX,26,36.333333333,carvings,,Q,O
2015,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,US,XX,,9,bones,,Q,O
2015,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,FR,XX,9,,bones,,Q,O
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CN,KR,CN,1,,skeletons,,Q,O
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CN,KR,CN,6,,specimens,,Q,O
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,US,2,,baleen,,P,W
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CN,,30,,meat,g,P,I
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,DK,XX,1,,bone carvings,,P,I
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,GB,XX,1,,meat,,P,I
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,IS,XX,2,,meat,,P,I
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,XX,2,,meat,,P,I
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NL,NO,300,,meat,g,P,I
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,XX,18,,meat,,P,I
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NZ,,575,,meat,g,P,I
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,SK,XX,2,,meat,,P,I
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,VN,XX,1.36,,meat,kg,P,I
2015,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,XX,,1275,,meat,g,P,I
2015,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,,3.4,bones,kg,P,W
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,FR,,1,,baleen,,Q,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,FR,,1,,baleen,,Q,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,1,,bones,,P,O
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,,1,ears,,P,O
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,DK,FO,,1,baleen,,P,O
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,CA,XX,1,,baleen,,P,W
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,CA,XX,0.59,,meat,kg,P,I
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,CN,XX,1,,baleen,,Q,O
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,CN,XX,,1,derivatives,,Q,O
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,GB,XX,300,,meat,g,P,I
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,IS,XX,206,,meat,g,P,I
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,IS,,70,,meat,g,P,I
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,JP,XX,100,,meat,g,P,I
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,NO,XX,0.3,,meat,kg,P,I
2015,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,NO,XX,1,,meat,,P,I
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,19,19,baleen,,P,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,1,1,bones,,P,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NO,GL,,,6,baleen,,P,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,GB,XX,1,,bone carvings,,Q,O
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,VC,XX,1,,bones,,P,I
2015,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,CA,US,,1,,live,,P,F
2015,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,KW,AE,,4,4,live,,P,C
2015,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,PK,AE,,6,,live,,P,C
2015,I,Bos mutus,Mammalia,Artiodactyla,Bovidae,Bos,CN,KR,CN,1,,bodies,,Q,O
2015,I,Bovidae spp.,Mammalia,Artiodactyla,Bovidae,,NL,HK,XX,1,,carvings,,P,O
2015,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,BE,CA,,2,2,skins,,P,F
2015,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,BE,CA,,3,3,skulls,,P,F
2015,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,CA,,,1,skin pieces,,P,F
2015,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,CA,,1,,trophies,,P,F
2015,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,XX,3,,horns,,P,I
2015,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,XX,1,,skulls,,P,I
2015,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,TH,XX,4,,horns,,P,I
2015,I,Capricornis thar,Mammalia,Artiodactyla,Bovidae,Capricornis,BE,CA,,1,,skins,,P,F
