Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2017,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,200,specimens,,S,W
2017,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,ES,CR,,,150,specimens,,S,W
2017,I,Hippotragus niger variani,Mammalia,Artiodactyla,Bovidae,Hippotragus,CD,ZA,,1,,live,,E,R
2017,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,EC,CR,,,133,specimens,,S,W
2017,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,NI,CR,,,40,specimens,,S,W
2017,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,IT,CO,,,231,skins,,T,D
2017,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MW,,,34.8,specimens,l,S,W
2017,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MW,,,20,specimens,ml,S,W
2017,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MW,,,120,specimens,,S,W
2017,I,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,SI,AE,ES,1,,live,,T,C
2017,I,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,SI,AE,GB,2,,live,,T,C
2017,I,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,SI,AE,US,1,,live,,T,D
2017,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,BG,NA,,1,,trophies,,H,W
2017,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,MW,ZA,,14,,live,,N,W
2017,I,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,IT,CR,,,14.4,specimens,g,S,W
2017,I,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,IT,CR,,,13,specimens,,S,W
2017,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,IT,CR,,,28.8,specimens,g,S,W
2017,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,IT,CR,,,17,specimens,,S,W
2017,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BG,ZW,,0,,trophies,,H,W
2017,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CD,ZA,,1,,live,,E,R
2017,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CN,CD,,,2,trophies,,T,W
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,CZ,RW,,,52,specimens,g,S,W
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,KE,RW,,,0.5,specimens,ml,S,W
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,US,RW,,,4901,specimens,g,S,W
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,US,RW,,,4.8,specimens,ml,S,W
2017,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,KE,RW,,,0.5,specimens,ml,S,W
2017,I,Anodorhynchus hyacinthinus,Aves,Psittaciformes,Psittacidae,Anodorhynchus,CR,US,,2,,live,,P,F
2017,I,Anodorhynchus hyacinthinus,Aves,Psittaciformes,Psittacidae,Anodorhynchus,US,CR,,,1,live,,P,F
2017,I,Ara ambiguus,Aves,Psittaciformes,Psittacidae,Ara,US,CR,,,65,specimens,,S,W
2017,I,Ara hybrid,Aves,Psittaciformes,Psittacidae,Ara,CR,US,,1,,live,,P,F
2017,I,Ara hybrid,Aves,Psittaciformes,Psittacidae,Ara,US,CR,,,1,live,,P,F
2017,I,Ceratotherium simum simum,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,CD,NA,,15,,live,,E,W
2017,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,RW,ZA,,18,,live,,N,R
2017,I,Tapirus bairdii,Mammalia,Perissodactyla,Tapiridae,Tapirus,DE,CR,,,48,specimens,,S,W
2017,I,Encephalartos altensteinii,,Cycadales,Zamiaceae,Encephalartos,NL,CR,CR,,6,live,,T,D
2017,I,Encephalartos chimanimaniensis,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,503,live,,T,A
2017,I,Encephalartos ferox,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,1,live,,T,A
2017,I,Encephalartos gratus,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,180,live,,T,A
2017,I,Encephalartos gratus,,Cycadales,Zamiaceae,Encephalartos,NL,CR,CR,,6,live,,T,D
2017,I,Encephalartos horridus,,Cycadales,Zamiaceae,Encephalartos,NL,CR,CR,,6,live,,T,D
2017,I,Encephalartos lebomboensis,,Cycadales,Zamiaceae,Encephalartos,NL,CR,CR,,6,live,,T,D
2017,I,Encephalartos longifolius,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,100,live,,T,A
2017,I,Encephalartos longifolius,,Cycadales,Zamiaceae,Encephalartos,NL,CR,CR,,6,live,,T,D
2017,I,Encephalartos natalensis,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,38,live,,T,A
2017,I,Encephalartos sclavoi,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,250,live,,T,A
2017,I,Encephalartos transvenosus,,Cycadales,Zamiaceae,Encephalartos,NL,CR,CR,,6,live,,T,D
2017,I,Encephalartos turneri,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,139,live,,T,A
2017,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,RS,HR,,1,,live,,T,C
2017,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,RS,RO,,2,,live,,T,C
2017,II,Accipitridae hybrid,Aves,Falconiformes,Accipitridae,,RS,SK,CZ,1,,live,,T,C
2017,II,Busarellus nigricollis,Aves,Falconiformes,Accipitridae,Busarellus,US,PE,,,4,specimens,,S,W
2017,II,Buteo magnirostris,Aves,Falconiformes,Accipitridae,Buteo,US,PE,,,4,specimens,,S,W
2017,II,Haliaeetus vocifer,Aves,Falconiformes,Accipitridae,Haliaeetus,CD,ZA,,1,,live,,E,R
2017,II,Leucopternis kuhli,Aves,Falconiformes,Accipitridae,Leucopternis,US,PE,,,4,specimens,,S,W
2017,II,Spizaetus tyrannus,Aves,Falconiformes,Accipitridae,Spizaetus,US,PE,,,1,live,,T,C
2017,II,Stephanoaetus coronatus,Aves,Falconiformes,Accipitridae,Stephanoaetus,TH,CD,,,8,live,,T,W
2017,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CH,BG,,,22.195,caviar,kg,T,C
2017,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,CH,BG,,,3.69,caviar,kg,T,C
